=== 规则书解析 token 消耗汇总 2026-08-04T09:16:41.585Z ===

第1轮  输入 3172 | 输出 136 | 思考 80 | 合计 3308
第37轮  输入 6132 | 输出 230 | 思考 26 | 合计 6362
第38轮  输入 4874 | 输出 69 | 思考 30 | 合计 4943
第39轮  输入 4128 | 输出 721 | 思考 574 | 合计 4849
第40轮  输入 4899 | 输出 75 | 思考 14 | 合计 4974
第41轮  输入 4614 | 输出 28 | 思考 0 | 合计 4642
第42轮  输入 4675 | 输出 75 | 思考 0 | 合计 4750
第43轮  输入 3516 | 输出 28 | 思考 0 | 合计 3544
第44轮  输入 4019 | 输出 272 | 思考 153 | 合计 4291
第45轮  输入 4189 | 输出 105 | 思考 0 | 合计 4294
第46轮  输入 5436 | 输出 56 | 思考 28 | 合计 5492
第47轮  输入 5967 | 输出 248 | 思考 66 | 合计 6215
第48轮  输入 4631 | 输出 235 | 思考 105 | 合计 4866
第49轮  输入 4926 | 输出 136 | 思考 91 | 合计 5062
第50轮  输入 4563 | 输出 48 | 思考 0 | 合计 4611
第51轮  输入 4791 | 输出 171 | 思考 75 | 合计 4962
第52轮  输入 6068 | 输出 253 | 思考 159 | 合计 6321
第53轮  输入 5074 | 输出 169 | 思考 32 | 合计 5243
第54轮  输入 5944 | 输出 85 | 思考 36 | 合计 6029
第55轮  输入 4485 | 输出 64 | 思考 0 | 合计 4549
第56轮  输入 4284 | 输出 99 | 思考 15 | 合计 4383
第57轮  输入 4435 | 输出 95 | 思考 67 | 合计 4530
第58轮  输入 4022 | 输出 525 | 思考 379 | 合计 4547
第59轮  输入 5726 | 输出 354 | 思考 292 | 合计 6080
第60轮  输入 5863 | 输出 117 | 思考 36 | 合计 5980
第61轮  输入 5446 | 输出 72 | 思考 44 | 合计 5518
第62轮  输入 4289 | 输出 219 | 思考 123 | 合计 4508
第63轮  输入 4935 | 输出 582 | 思考 461 | 合计 5517
第64轮  输入 6622 | 输出 57 | 思考 29 | 合计 6679
第65轮  输入 7154 | 输出 755 | 思考 543 | 合计 7909
第66轮  输入 4664 | 输出 154 | 思考 53 | 合计 4818
第67轮  输入 6106 | 输出 123 | 思考 44 | 合计 6229
第68轮  输入 6985 | 输出 164 | 思考 68 | 合计 7149
第69轮  输入 7037 | 输出 182 | 思考 148 | 合计 7219
第70轮  输入 7694 | 输出 573 | 思考 485 | 合计 8267
第71轮  输入 5451 | 输出 126 | 思考 45 | 合计 5577
第72轮  输入 3995 | 输出 123 | 思考 49 | 合计 4118
第73轮  输入 4731 | 输出 103 | 思考 27 | 合计 4834
第74轮  输入 4723 | 输出 1110 | 思考 984 | 合计 5833
第75轮  输入 4987 | 输出 108 | 思考 33 | 合计 5095
第76轮  输入 5176 | 输出 120 | 思考 0 | 合计 5296
第77轮  输入 3584 | 输出 54 | 思考 26 | 合计 3638
第78轮  输入 4113 | 输出 161 | 思考 40 | 合计 4274
第79轮  输入 4138 | 输出 75 | 思考 0 | 合计 4213
第80轮  输入 3561 | 输出 59 | 思考 0 | 合计 3620
第81轮  输入 4123 | 输出 67 | 思考 0 | 合计 4190
第82轮  输入 4004 | 输出 82 | 思考 0 | 合计 4086
第83轮  输入 3998 | 输出 132 | 思考 51 | 合计 4130
第84轮  输入 3515 | 输出 71 | 思考 13 | 合计 3586
第85轮  输入 4203 | 输出 134 | 思考 71 | 合计 4337
第86轮  输入 4718 | 输出 68 | 思考 0 | 合计 4786
第87轮  输入 4641 | 输出 347 | 思考 266 | 合计 4988
第88轮  输入 4336 | 输出 261 | 思考 168 | 合计 4597
第89轮  输入 3952 | 输出 290 | 思考 207 | 合计 4242
第90轮  输入 5249 | 输出 279 | 思考 190 | 合计 5528
第91轮  输入 5578 | 输出 343 | 思考 214 | 合计 5921
第92轮  输入 5603 | 输出 54 | 思考 26 | 合计 5657
第93轮  输入 4393 | 输出 93 | 思考 0 | 合计 4486
第94轮  输入 4069 | 输出 113 | 思考 33 | 合计 4182
第95轮  输入 4222 | 输出 161 | 思考 61 | 合计 4383
第96轮  输入 4427 | 输出 67 | 思考 0 | 合计 4494
第97轮  输入 4134 | 输出 91 | 思考 0 | 合计 4225
第98轮  输入 3629 | 输出 74 | 思考 13 | 合计 3703
第99轮  输入 3989 | 输出 180 | 思考 116 | 合计 4169
第100轮  输入 4194 | 输出 91 | 思考 0 | 合计 4285
第101轮  输入 4133 | 输出 107 | 思考 16 | 合计 4240
第102轮  输入 3569 | 输出 91 | 思考 10 | 合计 3660
第103轮  输入 4159 | 输出 246 | 思考 129 | 合计 4405
第104轮  输入 4104 | 输出 45 | 思考 17 | 合计 4149
第105轮  输入 4182 | 输出 75 | 思考 0 | 合计 4257
第106轮  输入 3748 | 输出 198 | 思考 170 | 合计 3946
第107轮  输入 4130 | 输出 211 | 思考 65 | 合计 4341
第108轮  输入 4314 | 输出 137 | 思考 69 | 合计 4451
第109轮  输入 4322 | 输出 299 | 思考 165 | 合计 4621
第110轮  输入 3984 | 输出 55 | 思考 27 | 合计 4039
第111轮  输入 3810 | 输出 123 | 思考 32 | 合计 3933
第112轮  输入 3822 | 输出 46 | 思考 18 | 合计 3868
第113轮  输入 4008 | 输出 125 | 思考 35 | 合计 4133
第114轮  输入 4382 | 输出 134 | 思考 17 | 合计 4516
第115轮  输入 3868 | 输出 83 | 思考 39 | 合计 3951
第116轮  输入 5167 | 输出 44 | 思考 16 | 合计 5211
第117轮  输入 5224 | 输出 161 | 思考 64 | 合计 5385
第118轮  输入 5242 | 输出 78 | 思考 0 | 合计 5320
第119轮  输入 3538 | 输出 95 | 思考 21 | 合计 3633
第120轮  输入 4717 | 输出 254 | 思考 133 | 合计 4971
第121轮  输入 4709 | 输出 129 | 思考 48 | 合计 4838
第122轮  输入 4874 | 输出 131 | 思考 53 | 合计 5005
第123轮  输入 4894 | 输出 158 | 思考 55 | 合计 5052
第124轮  输入 5244 | 输出 222 | 思考 115 | 合计 5466
第125轮  输入 5355 | 输出 172 | 思考 20 | 合计 5527
第126轮  输入 5552 | 输出 58 | 思考 0 | 合计 5610
第127轮  输入 5130 | 输出 226 | 思考 36 | 合计 5356
第128轮  输入 5381 | 输出 58 | 思考 0 | 合计 5439
第129轮  输入 6541 | 输出 308 | 思考 76 | 合计 6849
第130轮  输入 6874 | 输出 58 | 思考 0 | 合计 6932
第131轮  输入 7022 | 输出 172 | 思考 16 | 合计 7194
第132轮  输入 7220 | 输出 51 | 思考 0 | 合计 7271
第133轮  输入 6988 | 输出 269 | 思考 195 | 合计 7257
第134轮  输入 9261 | 输出 1022 | 思考 885 | 合计 10283
第135轮  输入 7994 | 输出 201 | 思考 105 | 合计 8195
第136轮  输入 6184 | 输出 113 | 思考 85 | 合计 6297
第137轮  输入 6772 | 输出 673 | 思考 536 | 合计 7445
第138轮  输入 4974 | 输出 153 | 思考 88 | 合计 5127
第139轮  输入 5953 | 输出 698 | 思考 236 | 合计 6651
第140轮  输入 4315 | 输出 154 | 思考 25 | 合计 4469
第141轮  输入 6385 | 输出 254 | 思考 84 | 合计 6639
第142轮  输入 7017 | 输出 599 | 思考 163 | 合计 7616
第143轮  输入 4250 | 输出 53 | 思考 22 | 合计 4303
第144轮  输入 4778 | 输出 243 | 思考 169 | 合计 5021
第145轮  输入 5078 | 输出 110 | 思考 17 | 合计 5188
第146轮  输入 3796 | 输出 140 | 思考 59 | 合计 3936
第147轮  输入 3985 | 输出 147 | 思考 30 | 合计 4132
第148轮  输入 3684 | 输出 50 | 思考 8 | 合计 3734
第149轮  输入 3770 | 输出 44 | 思考 0 | 合计 3814
第150轮  输入 3678 | 输出 81 | 思考 0 | 合计 3759
第151轮  输入 3891 | 输出 47 | 思考 0 | 合计 3938
第152轮  输入 3863 | 输出 44 | 思考 16 | 合计 3907
第153轮  输入 4382 | 输出 213 | 思考 136 | 合计 4595
第154轮  输入 5002 | 输出 331 | 思考 213 | 合计 5333
第155轮  输入 5348 | 输出 330 | 思考 43 | 合计 5678
第156轮  输入 3873 | 输出 115 | 思考 29 | 合计 3988
第157轮  输入 4479 | 输出 92 | 思考 15 | 合计 4571
第158轮  输入 4817 | 输出 338 | 思考 172 | 合计 5155
第159轮  输入 6893 | 输出 565 | 思考 399 | 合计 7458
第160轮  输入 7084 | 输出 276 | 思考 136 | 合计 7360
第161轮  输入 7960 | 输出 62 | 思考 34 | 合计 8022
第162轮  输入 5871 | 输出 368 | 思考 286 | 合计 6239
第163轮  输入 5887 | 输出 699 | 思考 553 | 合计 6586
第164轮  输入 5956 | 输出 246 | 思考 104 | 合计 6202
第165轮  输入 5621 | 输出 148 | 思考 66 | 合计 5769
第166轮  输入 6566 | 输出 120 | 思考 46 | 合计 6686
第167轮  输入 7236 | 输出 155 | 思考 127 | 合计 7391
第168轮  输入 7866 | 输出 483 | 思考 390 | 合计 8349
第169轮  输入 6109 | 输出 101 | 思考 23 | 合计 6210
第170轮  输入 4054 | 输出 72 | 思考 44 | 合计 4126
第171轮  输入 4601 | 输出 151 | 思考 53 | 合计 4752
第172轮  输入 4252 | 输出 365 | 思考 223 | 合计 4617
第173轮  输入 5919 | 输出 616 | 思考 516 | 合计 6535
第174轮  输入 6658 | 输出 250 | 思考 119 | 合计 6908
第175轮  输入 6804 | 输出 270 | 思考 195 | 合计 7074
第176轮  输入 7791 | 输出 656 | 思考 535 | 合计 8447
第177轮  输入 6710 | 输出 577 | 思考 527 | 合计 7287
第178轮  输入 7351 | 输出 326 | 思考 134 | 合计 7677
第179轮  输入 4460 | 输出 109 | 思考 41 | 合计 4569
第180轮  输入 4459 | 输出 564 | 思考 477 | 合计 5023
第181轮  输入 5038 | 输出 131 | 思考 47 | 合计 5169
第182轮  输入 4704 | 输出 519 | 思考 375 | 合计 5223
第183轮  输入 6761 | 输出 388 | 思考 297 | 合计 7149
第184轮  输入 7804 | 输出 508 | 思考 388 | 合计 8312
第185轮  输入 9747 | 输出 763 | 思考 321 | 合计 10510
第186轮  输入 4490 | 输出 55 | 思考 15 | 合计 4545
第187轮  输入 5020 | 输出 503 | 思考 379 | 合计 5523
第188轮  输入 6146 | 输出 453 | 思考 292 | 合计 6599
第189轮  输入 4994 | 输出 134 | 思考 36 | 合计 5128
第190轮  输入 5206 | 输出 250 | 思考 115 | 合计 5456
第191轮  输入 3877 | 输出 264 | 思考 81 | 合计 4141
第192轮  输入 4167 | 输出 51 | 思考 0 | 合计 4218
第193轮  输入 4803 | 输出 312 | 思考 128 | 合计 5115
第194轮  输入 5350 | 输出 311 | 思考 153 | 合计 5661
第195轮  输入 5403 | 输出 200 | 思考 38 | 合计 5603
第196轮  输入 5679 | 输出 116 | 思考 55 | 合计 5795
第197轮  输入 4975 | 输出 109 | 思考 65 | 合计 5084
第198轮  输入 5103 | 输出 182 | 思考 61 | 合计 5285
第199轮  输入 5062 | 输出 96 | 思考 20 | 合计 5158
第200轮  输入 3742 | 输出 42 | 思考 0 | 合计 3784
第201轮  输入 3820 | 输出 87 | 思考 12 | 合计 3907
第202轮  输入 3970 | 输出 38 | 思考 10 | 合计 4008
第203轮  输入 4351 | 输出 189 | 思考 74 | 合计 4540
第204轮  输入 4542 | 输出 77 | 思考 0 | 合计 4619
第205轮  输入 3753 | 输出 42 | 思考 14 | 合计 3795
第206轮  输入 3831 | 输出 59 | 思考 0 | 合计 3890
第207轮  输入 4124 | 输出 144 | 思考 95 | 合计 4268
第208轮  输入 4187 | 输出 126 | 思考 0 | 合计 4313
第209轮  输入 4305 | 输出 293 | 思考 35 | 合计 4598
第210轮  输入 4060 | 输出 49 | 思考 0 | 合计 4109
第211轮  输入 5504 | 输出 169 | 思考 22 | 合计 5673
第212轮  输入 6700 | 输出 298 | 思考 50 | 合计 6998
第213轮  输入 7022 | 输出 49 | 思考 0 | 合计 7071
第214轮  输入 5407 | 输出 268 | 思考 30 | 合计 5675
第215轮  输入 5700 | 输出 50 | 思考 0 | 合计 5750
第216轮  输入 4282 | 输出 657 | 思考 100 | 合计 4939
第217轮  输入 4965 | 输出 50 | 思考 0 | 合计 5015
第218轮  输入 5587 | 输出 458 | 思考 148 | 合计 6045
第219轮  输入 6071 | 输出 51 | 思考 0 | 合计 6122
第220轮  输入 6485 | 输出 455 | 思考 268 | 合计 6940
第221轮  输入 5604 | 输出 447 | 思考 235 | 合计 6051
第222轮  输入 4911 | 输出 1013 | 思考 540 | 合计 5924
第223轮  输入 5286 | 输出 50 | 思考 0 | 合计 5336
第224轮  输入 5353 | 输出 68 | 思考 0 | 合计 5421
第225轮  输入 4578 | 输出 135 | 思考 85 | 合计 4713
第226轮  输入 6705 | 输出 732 | 思考 614 | 合计 7437
第227轮  输入 6385 | 输出 134 | 思考 14 | 合计 6519
第228轮  输入 6544 | 输出 59 | 思考 0 | 合计 6603
第229轮  输入 5906 | 输出 835 | 思考 608 | 合计 6741
第230轮  输入 6401 | 输出 594 | 思考 403 | 合计 6995
第231轮  输入 6965 | 输出 193 | 思考 62 | 合计 7158
第232轮  输入 7142 | 输出 118 | 思考 43 | 合计 7260
第233轮  输入 5598 | 输出 380 | 思考 238 | 合计 5978
第234轮  输入 5737 | 输出 759 | 思考 650 | 合计 6496
第235轮  输入 7201 | 输出 724 | 思考 470 | 合计 7925
第236轮  输入 4337 | 输出 168 | 思考 74 | 合计 4505
第237轮  输入 4703 | 输出 97 | 思考 48 | 合计 4800
第238轮  输入 4904 | 输出 510 | 思考 96 | 合计 5414
第239轮  输入 4267 | 输出 111 | 思考 18 | 合计 4378
第240轮  输入 4624 | 输出 330 | 思考 154 | 合计 4954
第241轮  输入 4260 | 输出 324 | 思考 39 | 合计 4584
第242轮  输入 6079 | 输出 673 | 思考 448 | 合计 6752
第243轮  输入 8809 | 输出 177 | 思考 141 | 合计 8986
第244轮  输入 6825 | 输出 890 | 思考 727 | 合计 7715
第245轮  输入 7746 | 输出 68 | 思考 40 | 合计 7814
第246轮  输入 5120 | 输出 45 | 思考 0 | 合计 5165
第247轮  输入 5197 | 输出 84 | 思考 0 | 合计 5281
第248轮  输入 3723 | 输出 143 | 思考 18 | 合计 3866
第249轮  输入 3945 | 输出 133 | 思考 105 | 合计 4078
第250轮  输入 4372 | 输出 334 | 思考 242 | 合计 4706
第251轮  输入 4664 | 输出 74 | 思考 0 | 合计 4738
第252轮  输入 4962 | 输出 217 | 思考 117 | 合计 5179
第253轮  输入 4668 | 输出 207 | 思考 146 | 合计 4875
第254轮  输入 4455 | 输出 400 | 思考 308 | 合计 4855
第255轮  输入 5288 | 输出 343 | 思考 247 | 合计 5631
第256轮  输入 5378 | 输出 178 | 思考 102 | 合计 5556
第257轮  输入 4061 | 输出 131 | 思考 23 | 合计 4192
第258轮  输入 4332 | 输出 148 | 思考 120 | 合计 4480
第259轮  输入 4551 | 输出 176 | 思考 109 | 合计 4727
第260轮  输入 4541 | 输出 196 | 思考 148 | 合计 4737
第261轮  输入 5810 | 输出 67 | 思考 15 | 合计 5877
第262轮  输入 6256 | 输出 163 | 思考 47 | 合计 6419
第263轮  输入 6473 | 输出 288 | 思考 98 | 合计 6761
第264轮  输入 5312 | 输出 49 | 思考 0 | 合计 5361
第265轮  输入 6007 | 输出 174 | 思考 68 | 合计 6181
第266轮  输入 4678 | 输出 171 | 思考 10 | 合计 4849
第267轮  输入 4874 | 输出 50 | 思考 0 | 合计 4924
第268轮  输入 4004 | 输出 160 | 思考 75 | 合计 4164
第269轮  输入 4772 | 输出 63 | 思考 0 | 合计 4835
第270轮  输入 6186 | 输出 149 | 思考 56 | 合计 6335
第271轮  输入 7549 | 输出 226 | 思考 79 | 合计 7775
第272轮  输入 5153 | 输出 114 | 思考 36 | 合计 5267
第273轮  输入 5303 | 输出 42 | 思考 0 | 合计 5345
第274轮  输入 4018 | 输出 75 | 思考 0 | 合计 4093
第275轮  输入 3827 | 输出 87 | 思考 59 | 合计 3914
第276轮  输入 4239 | 输出 123 | 思考 40 | 合计 4362
第277轮  输入 4335 | 输出 94 | 思考 14 | 合计 4429
第278轮  输入 3747 | 输出 73 | 思考 13 | 合计 3820
第279轮  输入 4589 | 输出 209 | 思考 128 | 合计 4798
第280轮  输入 5123 | 输出 230 | 思考 152 | 合计 5353
第281轮  输入 4429 | 输出 758 | 思考 570 | 合计 5187
第282轮  输入 5967 | 输出 153 | 思考 46 | 合计 6120
第283轮  输入 5975 | 输出 173 | 思考 52 | 合计 6148
第284轮  输入 6470 | 输出 246 | 思考 178 | 合计 6716
第285轮  输入 5961 | 输出 235 | 思考 207 | 合计 6196
第286轮  输入 5677 | 输出 680 | 思考 539 | 合计 6357
第287轮  输入 6322 | 输出 124 | 思考 43 | 合计 6446
第288轮  输入 4822 | 输出 186 | 思考 52 | 合计 5008
第289轮  输入 7123 | 输出 600 | 思考 503 | 合计 7723
第290轮  输入 6376 | 输出 56 | 思考 11 | 合计 6432
第291轮  输入 6865 | 输出 238 | 思考 69 | 合计 7103
第292轮  输入 4828 | 输出 464 | 思考 331 | 合计 5292
第293轮  输入 4202 | 输出 311 | 思考 266 | 合计 4513
第294轮  输入 4946 | 输出 331 | 思考 267 | 合计 5277
第295轮  输入 5049 | 输出 164 | 思考 136 | 合计 5213
第296轮  输入 5688 | 输出 185 | 思考 139 | 合计 5873
第297轮  输入 4659 | 输出 77 | 思考 0 | 合计 4736
第298轮  输入 4767 | 输出 151 | 思考 77 | 合计 4918
第299轮  输入 3738 | 输出 44 | 思考 16 | 合计 3782
第300轮  输入 4257 | 输出 421 | 思考 344 | 合计 4678
第301轮  输入 4623 | 输出 49 | 思考 0 | 合计 4672
第302轮  输入 4513 | 输出 246 | 思考 188 | 合计 4759
第303轮  输入 5493 | 输出 474 | 思考 393 | 合计 5967
第304轮  输入 5023 | 输出 163 | 思考 82 | 合计 5186
第305轮  输入 4430 | 输出 52 | 思考 24 | 合计 4482
第306轮  输入 4957 | 输出 237 | 思考 139 | 合计 5194
第307轮  输入 4944 | 输出 307 | 思考 160 | 合计 5251
第308轮  输入 5118 | 输出 525 | 思考 22 | 合计 5643
第309轮  输入 4414 | 输出 76 | 思考 33 | 合计 4490
第310轮  输入 4965 | 输出 145 | 思考 65 | 合计 5110
第311轮  输入 5151 | 输出 67 | 思考 9 | 合计 5218
第312轮  输入 5475 | 输出 138 | 思考 35 | 合计 5613
第313轮  输入 5115 | 输出 199 | 思考 140 | 合计 5314
第314轮  输入 4380 | 输出 384 | 思考 279 | 合计 4764
第315轮  输入 4819 | 输出 577 | 思考 477 | 合计 5396
第316轮  输入 5220 | 输出 105 | 思考 25 | 合计 5325
第317轮  输入 4638 | 输出 70 | 思考 42 | 合计 4708
第318轮  输入 5183 | 输出 295 | 思考 219 | 合计 5478
第319轮  输入 5692 | 输出 644 | 思考 533 | 合计 6336
第320轮  输入 6377 | 输出 63 | 思考 35 | 合计 6440
第321轮  输入 5811 | 输出 75 | 思考 0 | 合计 5886
第322轮  输入 4427 | 输出 121 | 思考 0 | 合计 4548
第323轮  输入 3817 | 输出 90 | 思考 62 | 合计 3907
第324轮  输入 4382 | 输出 141 | 思考 60 | 合计 4523
第325轮  输入 4403 | 输出 69 | 思考 41 | 合计 4472
第326轮  输入 4334 | 输出 127 | 思考 52 | 合计 4461
第327轮  输入 4203 | 输出 88 | 思考 25 | 合计 4291
第328轮  输入 4508 | 输出 257 | 思考 182 | 合计 4765
第329轮  输入 4817 | 输出 736 | 思考 590 | 合计 5553
第330轮  输入 7103 | 输出 455 | 思考 339 | 合计 7558
第331轮  输入 7930 | 输出 231 | 思考 101 | 合计 8161
第332轮  输入 6033 | 输出 332 | 思考 172 | 合计 6365
第333轮  输入 5654 | 输出 129 | 思考 39 | 合计 5783
第334轮  输入 4169 | 输出 380 | 思考 255 | 合计 4549
第335轮  输入 4287 | 输出 655 | 思考 155 | 合计 4942
第336轮  输入 4600 | 输出 57 | 思考 17 | 合计 4657
第337轮  输入 5132 | 输出 421 | 思考 323 | 合计 5553
第338轮  输入 5610 | 输出 120 | 思考 42 | 合计 5730
第339轮  输入 4197 | 输出 103 | 思考 0 | 合计 4300
第340轮  输入 4353 | 输出 60 | 思考 17 | 合计 4413
第341轮  输入 4410 | 输出 306 | 思考 189 | 合计 4716
第342轮  输入 4580 | 输出 118 | 思考 31 | 合计 4698
第343轮  输入 5108 | 输出 215 | 思考 76 | 合计 5323
第344轮  输入 5832 | 输出 248 | 思考 112 | 合计 6080
第345轮  输入 4615 | 输出 214 | 思考 57 | 合计 4829
第346轮  输入 4855 | 输出 51 | 思考 0 | 合计 4906
第347轮  输入 5606 | 输出 322 | 思考 223 | 合计 5928
第348轮  输入 6046 | 输出 380 | 思考 308 | 合计 6426
第349轮  输入 5925 | 输出 262 | 思考 187 | 合计 6187
第350轮  输入 6253 | 输出 150 | 思考 64 | 合计 6403
第351轮  输入 7689 | 输出 562 | 思考 386 | 合计 8251
第352轮  输入 8613 | 输出 202 | 思考 107 | 合计 8815
第353轮  输入 8830 | 输出 190 | 思考 93 | 合计 9020
第354轮  输入 6819 | 输出 101 | 思考 33 | 合计 6920
第355轮  输入 6949 | 输出 73 | 思考 0 | 合计 7022
第356轮  输入 4023 | 输出 238 | 思考 168 | 合计 4261
第357轮  输入 4290 | 输出 63 | 思考 0 | 合计 4353
第358轮  输入 4072 | 输出 137 | 思考 12 | 合计 4209
第359轮  输入 4233 | 输出 48 | 思考 0 | 合计 4281
第360轮  输入 4693 | 输出 226 | 思考 133 | 合计 4919
第361轮  输入 6346 | 输出 237 | 思考 70 | 合计 6583
第362轮  输入 7897 | 输出 230 | 思考 138 | 合计 8127
第363轮  输入 6982 | 输出 169 | 思考 26 | 合计 7151
第364轮  输入 5980 | 输出 352 | 思考 276 | 合计 6332
第365轮  输入 6623 | 输出 62 | 思考 20 | 合计 6685
第366轮  输入 5983 | 输出 61 | 思考 0 | 合计 6044
第367轮  输入 4844 | 输出 195 | 思考 83 | 合计 5039
第368轮  输入 4387 | 输出 51 | 思考 9 | 合计 4438
第369轮  输入 4474 | 输出 130 | 思考 31 | 合计 4604
第370轮  输入 4109 | 输出 217 | 思考 121 | 合计 4326
第371轮  输入 4032 | 输出 96 | 思考 0 | 合计 4128
第372轮  输入 4204 | 输出 210 | 思考 129 | 合计 4414
第373轮  输入 3969 | 输出 293 | 思考 172 | 合计 4262
第374轮  输入 4313 | 输出 134 | 思考 22 | 合计 4447
第375轮  输入 4117 | 输出 148 | 思考 47 | 合计 4265
第376轮  输入 5132 | 输出 66 | 思考 38 | 合计 5198
第377轮  输入 4890 | 输出 172 | 思考 79 | 合计 5062
第378轮  输入 6248 | 输出 363 | 思考 241 | 合计 6611
第379轮  输入 5602 | 输出 248 | 思考 149 | 合计 5850
第380轮  输入 4313 | 输出 72 | 思考 44 | 合计 4385
第381轮  输入 4860 | 输出 310 | 思考 214 | 合计 5170
第382轮  输入 4760 | 输出 119 | 思考 22 | 合计 4879
第383轮  输入 4077 | 输出 158 | 思考 51 | 合计 4235
第384轮  输入 4343 | 输出 176 | 思考 55 | 合计 4519
第385轮  输入 4046 | 输出 226 | 思考 198 | 合计 4272
第386轮  输入 4747 | 输出 211 | 思考 121 | 合计 4958
第387轮  输入 5303 | 输出 220 | 思考 172 | 合计 5523
第388轮  输入 6367 | 输出 410 | 思考 308 | 合计 6777
第389轮  输入 6520 | 输出 169 | 思考 74 | 合计 6689
第390轮  输入 5924 | 输出 188 | 思考 110 | 合计 6112
第391轮  输入 6127 | 输出 214 | 思考 137 | 合计 6341
第392轮  输入 4211 | 输出 28 | 思考 0 | 合计 4239
第393轮  输入 4275 | 输出 77 | 思考 0 | 合计 4352
第394轮  输入 3964 | 输出 76 | 思考 0 | 合计 4040
第395轮  输入 4684 | 输出 148 | 思考 37 | 合计 4832
第396轮  输入 4808 | 输出 122 | 思考 94 | 合计 4930
第397轮  输入 5405 | 输出 463 | 思考 366 | 合计 5868
第398轮  输入 5070 | 输出 106 | 思考 28 | 合计 5176
第399轮  输入 4196 | 输出 108 | 思考 34 | 合计 4304
第400轮  输入 5485 | 输出 182 | 思考 101 | 合计 5667
第401轮  输入 5663 | 输出 140 | 思考 95 | 合计 5803
第402轮  输入 5693 | 输出 67 | 思考 0 | 合计 5760
第403轮  输入 5788 | 输出 167 | 思考 69 | 合计 5955
第404轮  输入 4026 | 输出 179 | 思考 151 | 合计 4205
第405轮  输入 4680 | 输出 491 | 思考 365 | 合计 5171
第406轮  输入 6356 | 输出 185 | 思考 123 | 合计 6541
第407轮  输入 6766 | 输出 543 | 思考 465 | 合计 7309
第408轮  输入 7336 | 输出 139 | 思考 47 | 合计 7475
第409轮  输入 4961 | 输出 351 | 思考 273 | 合计 5312
第410轮  输入 5351 | 输出 3319 | 思考 2038 | 合计 8670
第411轮  输入 7533 | 输出 2567 | 思考 10 | 合计 10100
第412轮  输入 9584 | 输出 169 | 思考 74 | 合计 9753
第413轮  输入 6479 | 输出 214 | 思考 76 | 合计 6693
第414轮  输入 4649 | 输出 340 | 思考 79 | 合计 4989
第415轮  输入 5038 | 输出 110 | 思考 31 | 合计 5148
第416轮  输入 5194 | 输出 551 | 思考 14 | 合计 5745
第417轮  输入 4312 | 输出 128 | 思考 19 | 合计 4440
第418轮  输入 5724 | 输出 271 | 思考 99 | 合计 5995
第419轮  输入 6613 | 输出 188 | 思考 160 | 合计 6801
第420轮  输入 7276 | 输出 534 | 思考 416 | 合计 7810
